dim_0,dim_1,cluster
-0.3050338274651417,-0.2805178177500946,0
-0.3318341986126168,-0.3033297619452607,0
-0.310497278513881,-0.2848314883942906,0
-0.3567206224268716,-0.322312254322131,0
-0.3323234133525444,-0.3046180580285504,0
-0.34082049080404,-0.3124443110847712,0
-0.3259377185441984,-0.2987926541964712,0
-0.2831996276991876,-0.2628379954620077,-1
-0.3520427310020141,-0.3191096135025145,0
-0.335396074558473,-0.3028595818369463,0
-0.3745799545179438,-0.3366273245020842,0
-0.3078114019186365,-0.282473257196382,0
-0.3252227676687417,-0.2979589977131238,0
-0.3010927546957875,-0.2768627869495375,0
-0.3513579727416056,-0.3178391940327167,0
-0.3465783328553334,-0.3144787319318958,0
-0.3373740473877553,-0.3087516548079113,0
-0.3160096915631171,-0.2916807938634898,0
-0.2775928604694844,-0.2579378200584616,-1
-0.358362048419711,-0.3224424680657572,0
-0.3365867336723792,-0.3045615179200706,0
-0.372559712117151,-0.3347400606466298,0
-0.3116070577403277,-0.2854706191063926,0
-0.3433172828878492,-0.3119646401985808,0
-0.307796612510863,-0.2819509759536304,0
-0.3561693782608357,-0.3214139094563955,0
-0.3652021885572803,-0.3302462561527987,0
-0.3235807344044691,-0.2975342116468676,0
-0.2844727661888525,-0.266869987059559,-1
-0.280263550536441,-0.2603906710189439,-1
-0.3595358460662178,-0.3242999197078229,0
-0.334874791795051,-0.3042738460486175,0
-0.3704077819763073,-0.3335207689843081,0
-0.3188956657289882,-0.2913285327607811,0
-0.3439031175121333,-0.3120493258885973,0
-0.3124987309100098,-0.2860018359187217,0
-0.3535727543665721,-0.3191868709197999,0
-0.3753104032371318,-0.339332095801548,0
-0.304156066530872,-0.283367796666019,0
-0.3047436327358251,-0.2828908778512428,0
-0.2462405770232476,-0.2340470555643444,1
-0.3594432471149072,-0.3237762178599979,0
-0.3320085037125254,-0.3002806450894037,0
-0.3656798987968568,-0.3298768478369591,0
-0.3218959624604515,-0.2931866981062229,0
-0.3428267816953591,-0.3114157004623669,0
-0.3150723005388838,-0.2888469990983994,0
-0.3512550663135275,-0.3177649149106039,0
-0.3731324372726929,-0.3387443178315152,0
-0.299913575342402,-0.280663617529525,0
-0.3225187486114083,-0.2966398586202562,0
-0.2806011985694388,-0.2604539243779612,-1
-0.3576946600915169,-0.3231227833411884,0
-0.3244088254740446,-0.2925513522131422,0
-0.3685932538281686,-0.332103472716505,0
-0.3144083595983952,-0.286443689529021,0
-0.3382027540128817,-0.3082454719833186,0
-0.3150108899028224,-0.2889302388192795,0
-0.3563991961036587,-0.3228448525873809,0
-0.3726816809799166,-0.338809887423198,0
-0.3263227088851778,-0.3012487828748377,0
-0.3349601582982468,-0.3063721775015244,0
-0.2786012310940651,-0.2587894452972024,-1
-0.3403255548321451,-0.3098284097102668,0
-0.3175249391982465,-0.2870935427844284,0
-0.370163152834714,-0.3331636353778481,0
-0.1451115761220531,-0.1483989443732054,-1
-0.1928801261691924,-0.1822532489177484,-1
-0.2224154299229694,-0.2113199529224781,2
-0.2141204464515107,-0.2032525593549251,2
-0.2443432325536423,-0.2328869438765363,1
-0.2072633199581844,-0.2041521400961899,-1
-0.204939115844479,-0.1987627274907819,-1
-0.1825187212295826,-0.1890233941788922,3
-0.2003998826802477,-0.2011800620136746,-1
-0.1960034925699529,-0.1966735538978285,-1
-0.2434616772314144,-0.2357674476199237,1
-0.1351824472944171,-0.1409578491471172,-1
-0.2046104420179848,-0.1916780074066625,-1
-0.221618855512224,-0.2095857430516092,2
-0.2268024062026129,-0.2148106776118827,2
-0.2482946142880552,-0.2347847992964436,1
-0.2063559210523091,-0.2038486490993364,-1
-0.2167438665897225,-0.2064489084973138,2
-0.1806411298078636,-0.1864782804547218,3
-0.2035618338172108,-0.2054077901892625,-1
-0.1967346951444246,-0.1933733362182884,-1
-0.2280248684464206,-0.2254925955761814,2
-0.1271039686123223,-0.1349186966876311,-1
-0.2089092348084041,-0.1947055175211065,-1
-0.2265232982972276,-0.2139586080552485,2
-0.2292351097431196,-0.2166065674798732,2
-0.2472001192862657,-0.2335150426941958,1
-0.2119022079033116,-0.2101201337390848,2
-0.2290436908757406,-0.2168241890888324,2
-0.17700673519926,-0.1825020724280702,3
-0.1987238731877635,-0.2026153938262432,-1
-0.1932805436090405,-0.1903353821482628,-1
-0.2255291781319947,-0.2214775526251934,2
-0.1140707802216489,-0.1255364964554779,-1
-0.2103081581530384,-0.1961373086745919,-1
-0.2267038009250225,-0.2141281723322845,2
-0.2243905861036282,-0.2120190101706067,2
-0.2441874676229414,-0.2299466735233333,1
-0.2203068556291653,-0.215628523201262,2
-0.2263035094236272,-0.2165464427844021,2
-0.1712692953143116,-0.1787587269615743,3
-0.2003341815899899,-0.2021655868390738,-1
-0.1936018202008429,-0.1928734346634083,-1
-0.2382463733035079,-0.2251298980209188,1
-0.1107086164400081,-0.1236703796555099,-1
-0.2115307358341182,-0.196461084250228,-1
-0.2215781690596595,-0.2099295662427767,2
-0.222699078843554,-0.2113936510384705,2
-0.2311297629359619,-0.2163133376747793,2
-0.2251457229701111,-0.2178082390489102,2
-0.21761889014072,-0.2097579761259965,2
-0.1664626940229578,-0.1752575675678763,-1
-0.205725078246259,-0.2043783288086622,-1
-0.1884912388827798,-0.1913961137665454,-1
-0.2424232727620677,-0.2299043900266473,1
-0.1066698255287385,-0.1191094062303542,-1
-0.2095994202413734,-0.1941381664829573,-1
-0.2193962676200268,-0.2084688316015252,2
-0.2208545053598249,-0.2100535305469435,2
-0.2199338728559104,-0.208297316593684,2
-0.2346008452435022,-0.2240864019381978,-1
-0.2163584993275233,-0.207553337452496,2
-0.1638294409904359,-0.1720109654236851,-1
-0.2118294433651589,-0.2066593274322343,2
-0.174493861380688,-0.1800516726455446,3
-0.2443101872425328,-0.2316124049808343,1
-0.137403050836038,-0.1310748146701569,-1
-0.1841115380489644,-0.1728062962065521,3
-0.2277369922212361,-0.2119435161385381,2
-0.2562997706322915,-0.2396445829549335,1
-0.2528144119892377,-0.2414377582161211,1
-0.2541392196656918,-0.242314086918484,1
-0.2257679323929855,-0.2197082322071185,2
-0.1831809726186812,-0.1799978627164215,3
-0.2261793969424723,-0.2186700884450289,2
-0.181777613860367,-0.172964732739763,3
-0.2564114374760664,-0.2355454340180587,1
-0.1315060368496223,-0.1266665790373631,-1
-0.1813853594280516,-0.1708830030110132,3
-0.2270397408570992,-0.2111886068782541,2
-0.2585348997540704,-0.2416376492725849,1
-0.2449684970104844,-0.2355241259360866,1
